ifc_guid,collection_url
0$Vh0Lqobias_KBLtKaojR,https://domenicoandreucci.github.io/hbim-tachara/collections/0$Vh0Lqobias_KBLtKaojR.html
0$Wk1_2RXC8u2WP5BeUabo,https://domenicoandreucci.github.io/hbim-tachara/collections/0$Wk1_2RXC8u2WP5BeUabo.html
00xDXEn85_POJ3C0zB1IBD,https://domenicoandreucci.github.io/hbim-tachara/collections/00xDXEn85_POJ3C0zB1IBD.html
02eYZIj5twPe0yBasJeNMw,https://domenicoandreucci.github.io/hbim-tachara/collections/02eYZIj5twPe0yBasJeNMw.html
04ZtIci89BNPPdNr3UjPxf,https://domenicoandreucci.github.io/hbim-tachara/collections/04ZtIci89BNPPdNr3UjPxf.html
04ova_VXP0RA4eI_unIUvX,https://domenicoandreucci.github.io/hbim-tachara/collections/04ova_VXP0RA4eI_unIUvX.html
05L0IcDgAMdX5Tnb_N2GUg,https://domenicoandreucci.github.io/hbim-tachara/collections/05L0IcDgAMdX5Tnb_N2GUg.html
05LSF73RT54gnTvs6YUp54,https://domenicoandreucci.github.io/hbim-tachara/collections/05LSF73RT54gnTvs6YUp54.html
066FYPWC50QSkmFIxQf2d_,https://domenicoandreucci.github.io/hbim-tachara/collections/066FYPWC50QSkmFIxQf2d_.html
07js5ZnUIqfriQM46P87YO,https://domenicoandreucci.github.io/hbim-tachara/collections/07js5ZnUIqfriQM46P87YO.html
0ABXb6OWH4NwFsKAOc73mO,https://domenicoandreucci.github.io/hbim-tachara/collections/0ABXb6OWH4NwFsKAOc73mO.html
0AJndAVKL9sAKS_iBTt8uI,https://domenicoandreucci.github.io/hbim-tachara/collections/0AJndAVKL9sAKS_iBTt8uI.html
0AgaPElvHKeDmGOodMhhci,https://domenicoandreucci.github.io/hbim-tachara/collections/0AgaPElvHKeDmGOodMhhci.html
0BCI4QoZ5A5BYHp82ULhdw,https://domenicoandreucci.github.io/hbim-tachara/collections/0BCI4QoZ5A5BYHp82ULhdw.html
0CHrVPBWLBAuKWVElR5KyV,https://domenicoandreucci.github.io/hbim-tachara/collections/0CHrVPBWLBAuKWVElR5KyV.html
0EEN1dKzQxbJ8nPO9Mmn4l,https://domenicoandreucci.github.io/hbim-tachara/collections/0EEN1dKzQxbJ8nPO9Mmn4l.html
0FCJpIkwD7jQTcl4jYo3yx,https://domenicoandreucci.github.io/hbim-tachara/collections/0FCJpIkwD7jQTcl4jYo3yx.html
0FuS3OK3Hwv2QDDZDX_PSp,https://domenicoandreucci.github.io/hbim-tachara/collections/0FuS3OK3Hwv2QDDZDX_PSp.html
0GXiC9weH6YPj44GeKoUHb,https://domenicoandreucci.github.io/hbim-tachara/collections/0GXiC9weH6YPj44GeKoUHb.html
0GitN3X$tHOgkRe_udk1uw,https://domenicoandreucci.github.io/hbim-tachara/collections/0GitN3X$tHOgkRe_udk1uw.html
0HNaRSel96UwoPreRMDYlI,https://domenicoandreucci.github.io/hbim-tachara/collections/0HNaRSel96UwoPreRMDYlI.html
0HP7Uz5Sj0MxlkEazJJfiE,https://domenicoandreucci.github.io/hbim-tachara/collections/0HP7Uz5Sj0MxlkEazJJfiE.html
0Hf6SuFIb9X8H4WES3We0j,https://domenicoandreucci.github.io/hbim-tachara/collections/0Hf6SuFIb9X8H4WES3We0j.html
0Hghymo3PEuOxua$pEA2un,https://domenicoandreucci.github.io/hbim-tachara/collections/0Hghymo3PEuOxua$pEA2un.html
0I3oCzYy$UL_nV09y72Yxr,https://domenicoandreucci.github.io/hbim-tachara/collections/0I3oCzYy$UL_nV09y72Yxr.html
0InUOoebn3yxUu3aUzC1SI,https://domenicoandreucci.github.io/hbim-tachara/collections/0InUOoebn3yxUu3aUzC1SI.html
0Iw5Rx3hbIuaGZ7pgSBXMR,https://domenicoandreucci.github.io/hbim-tachara/collections/0Iw5Rx3hbIuaGZ7pgSBXMR.html
0J9Z3mA7oUdW0Qm8F1MANP,https://domenicoandreucci.github.io/hbim-tachara/collections/0J9Z3mA7oUdW0Qm8F1MANP.html
0K5irybwXAJy8iB4FOMPIR,https://domenicoandreucci.github.io/hbim-tachara/collections/0K5irybwXAJy8iB4FOMPIR.html
0KXKOWiQD39h38AQ33vHgk,https://domenicoandreucci.github.io/hbim-tachara/collections/0KXKOWiQD39h38AQ33vHgk.html
0KoKPPH7pwpXx7Uw0tMO6S,https://domenicoandreucci.github.io/hbim-tachara/collections/0KoKPPH7pwpXx7Uw0tMO6S.html
0KrNGNwZxkLvt2WzU4UMBJ,https://domenicoandreucci.github.io/hbim-tachara/collections/0KrNGNwZxkLvt2WzU4UMBJ.html
0LV5MwxyE7ye0dcoLWgmTZ,https://domenicoandreucci.github.io/hbim-tachara/collections/0LV5MwxyE7ye0dcoLWgmTZ.html
0MHyw0wyD0wvGyXp74Vbj4,https://domenicoandreucci.github.io/hbim-tachara/collections/0MHyw0wyD0wvGyXp74Vbj4.html
0Mjk$4roT6qf4dcD_31Fu$,https://domenicoandreucci.github.io/hbim-tachara/collections/0Mjk$4roT6qf4dcD_31Fu$.html
